"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|IT","Actual Total Load [MW] - CTA|IT"
"10.11.2019 00:00 - 10.11.2019 01:00","23228",""
"10.11.2019 01:00 - 10.11.2019 02:00","21742",""
"10.11.2019 02:00 - 10.11.2019 03:00","20924",""
"10.11.2019 03:00 - 10.11.2019 04:00","20219",""
"10.11.2019 04:00 - 10.11.2019 05:00","20225",""
"10.11.2019 05:00 - 10.11.2019 06:00","20819",""
"10.11.2019 06:00 - 10.11.2019 07:00","21736",""
"10.11.2019 07:00 - 10.11.2019 08:00","22312",""
"10.11.2019 08:00 - 10.11.2019 09:00","24250",""
"10.11.2019 09:00 - 10.11.2019 10:00","25791",""
"10.11.2019 10:00 - 10.11.2019 11:00","26711",""
"10.11.2019 11:00 - 10.11.2019 12:00","27109",""
"10.11.2019 12:00 - 10.11.2019 13:00","-",""
"10.11.2019 13:00 - 10.11.2019 14:00","-",""
"10.11.2019 14:00 - 10.11.2019 15:00","-",""
"10.11.2019 15:00 - 10.11.2019 16:00","-",""
"10.11.2019 16:00 - 10.11.2019 17:00","-",""
"10.11.2019 17:00 - 10.11.2019 18:00","-",""
"10.11.2019 18:00 - 10.11.2019 19:00","-",""
"10.11.2019 19:00 - 10.11.2019 20:00","-",""
"10.11.2019 20:00 - 10.11.2019 21:00","-",""
"10.11.2019 21:00 - 10.11.2019 22:00","-",""
"10.11.2019 22:00 - 10.11.2019 23:00","-",""
"10.11.2019 23:00 - 11.11.2019 00:00","-",""
